"","date","open","high","low","close","volume","adjusted"
"2890",2009-06-29,20.494286,20.564285,20.219999,20.281429,141904000,13.729648
"2891",2009-06-30,20.368572,20.542856,20.257143,20.347143,108556000,13.774134
"2892",2009-07-01,20.5,20.665714,20.360001,20.404285,103544700,13.812814
"2893",2009-07-02,20.178572,20.404285,19.969999,20.002857,92619800,13.541064
"2894",2009-07-06,19.814285,19.855715,19.464285,19.801428,124672100,13.404706
"2895",2009-07-07,19.782858,19.954287,19.311428,19.342857,115399200,13.094273
"2896",2009-07-08,19.417143,19.719999,19.202858,19.602858,143982300,13.270281
"2897",2009-07-09,19.68,19.712856,19.418571,19.48,85756300,13.187115
"2898",2009-07-10,19.477142,19.852858,19.474285,19.788572,111318900,13.396004
"2899",2009-07-13,19.934286,20.334286,19.647142,20.334286,120875300,13.765429
"2900",2009-07-14,20.290001,20.454287,20.165714,20.324286,86811900,13.758658
"2901",2009-07-15,20.719999,21,20.617144,20.982857,121396800,14.204484
"2902",2009-07-16,20.822857,21.145714,20.795713,21.074286,98392700,14.266375
"2903",2009-07-17,21.297142,21.717142,21.232857,21.678572,150538500,14.67545
"2904",2009-07-20,21.895714,22.148571,21.555714,21.844286,183881600,14.78763
"2905",2009-07-21,21.898571,21.918571,21.392857,21.644285,218695400,14.652241
"2906",2009-07-22,22.54143,22.675714,22.301428,22.391428,218526000,15.158027
"2907",2009-07-23,22.375713,22.634285,22.222857,22.545713,131740700,15.262465
"2908",2009-07-24,22.421429,22.857143,22.357143,22.855715,109590600,15.472324
"2909",2009-07-27,22.881428,22.982857,22.465714,22.871429,108327800,15.482962
"2910",2009-07-28,22.697144,22.871429,22.514286,22.857143,90888700,15.473292
"2911",2009-07-29,22.700001,22.921429,22.607143,22.861429,95539500,15.476193
"2912",2009-07-30,23.1,23.531429,23.071428,23.255714,117401200,15.74311
"2913",2009-07-31,23.284286,23.571428,23.272858,23.341429,105634200,15.801132
"2914",2009-08-03,23.601429,23.805714,23.552856,23.775715,98560000,16.095127
"2915",2009-08-04,23.561428,23.652857,23.45857,23.65,98952700,16.010019
"2916",2009-08-05,23.678572,23.912857,23.45857,23.587143,105795900,15.96747
"2917",2009-08-06,23.654285,23.787144,23.298571,23.415714,85404200,15.851418
"2918",2009-08-07,23.641428,23.799999,23.542856,23.644285,96838700,16.006155
